"","dE","alphaB","powerwo","powerwEB","powerwEBdiff","powerwo_orig"
"X.73",0.63,0.118788951058344,0.906404998711931,0.906407379560115,2.38084818404705e-06,0.705413902442457
"X.74",0.64,0.11538550885079,0.903477676483541,0.903477678097251,1.61371005447108e-09,0.705413902442457
"X.75",0.65,0.112107382539189,0.900534499578864,0.900534499692724,1.13859921491155e-10,0.705413902442457
"X.76",0.66,0.108978701597181,0.897605001114125,0.897576092685875,-2.89084282506513e-05,0.705413902442457
"X.77",0.67,0.1060016623165,0.89470126959,0.894701270645561,1.05556019480701e-09,0.705413902442457
"X.78",0.68,0.10315163343956,0.891808632852286,0.891808632960038,1.07751474409667e-10,0.705413902442457
"X.79",0.69,0.100450845042626,0.888959481389239,0.888959481569453,1.80214065892415e-10,0.705413902442457
"X.80",0.7,0.0978685942046376,0.886131300684198,0.886131300683824,-3.7336800318144e-13,0.705413902442457
"X.81",0.71,0.0954297206873227,0.883361361028416,0.883329162806242,-3.21982221737072e-05,0.705413902442457
"X.82",0.72,0.0930746984465785,0.880590469773581,0.880590467790761,-1.98282001928618e-09,0.705413902442457
"X.83",0.73,0.0908665554402503,0.877901880649559,0.877891079980668,-1.08006688908091e-05,0.705413902442457
"X.84",0.74,0.0887346054167562,0.875218529479505,0.87521853006329,5.83785353391875e-10,0.705413902442457
"X.85",0.75,0.0867046382515842,0.872579490961997,0.872579491042669,8.06720246160353e-11,0.705413902442457
"X.86",0.76,0.0847815811145144,0.870000014161796,0.870049305448866,4.92912870699858e-05,0.705413902442457
"X.87",0.77,0.0829448806706115,0.867460701918458,0.867474510774502,1.38088560444061e-05,0.705413902442457
"X.88",0.78,0.0811787884172336,0.864945976783005,0.864946018372989,4.15899840122691e-08,0.705413902442457
"X.89",0.79,0.0795129874025096,0.862505413971466,0.862501876188074,-3.53778339201583e-06,0.705413902442457
"X.90",0.8,0.0779045745657086,0.860082858567254,0.860082858758343,1.91088145307106e-10,0.705413902442457
"X.91",0.81,0.0763658752095564,0.857701896577402,0.857701896942392,3.64989816148409e-10,0.705413902442457
"X.92",0.82,0.0749112557958982,0.855391603327136,0.85539160395198,6.2484395435547e-10,0.705413902442457
"X.93",0.83,0.0735013952278421,0.853094991545905,0.853094991923502,3.77596620637632e-10,0.705413902442457
"X.94",0.84,0.0721719890925212,0.850875599962631,0.850875600167119,2.04488537214331e-10,0.705413902442457
"X.95",0.85,0.0709001001128526,0.848701413897279,0.848685602165002,-1.58117322778262e-05,0.705413902442457
"X.96",0.86,0.0696508650583165,0.846515742631767,0.846515742913103,2.8133573248823e-10,0.705413902442457
"X.97",0.87,0.0685752443380115,0.844592527667257,0.844592955015462,4.27348204490308e-07,0.705413902442457
"X.98",0.88,0.0673603656060616,0.842372707069967,0.842369246954776,-3.46011519125611e-06,0.705413902442457
"X.99",0.89,0.0662689527749566,0.840333912644098,0.840325061792488,-8.85085161017596e-06,0.705413902442457
"X.100",0.9,0.0652329923604868,0.838358316863395,0.838378917466479,2.06006030838424e-05,0.705413902442457
"X.101",0.91,0.0644133451673858,0.836766491700405,0.836425543866709,-0.000340947833695981,0.705413902442457
"X.102",0.92,0.0632871046739334,0.834536492306157,0.834510963366179,-2.55289399782033e-05,0.705413902442457
"X.103",0.93,0.0623700873386909,0.832683077815144,0.832692538714871,9.46089972686526e-06,0.705413902442457
"X.104",0.94,0.0614849850342744,0.830861049794041,0.830865205870542,4.15607650117167e-06,0.705413902442457
"X.105",0.95,0.0606417904509539,0.829094138217991,0.829094138216931,-1.06037401081949e-12,0.705413902442457
"X.106",0.96,0.0598470428411391,0.827400124609786,0.827371633076224,-2.84915335623248e-05,0.705413902442457
"X.107",0.97,0.0591051556612635,0.825793034314338,0.825652480209475,-0.000140554104863133,0.705413902442457
"X.108",0.98,0.0582941354948131,0.824006965676012,0.82399014091945,-1.68247565617285e-05,0.705413902442457
"X.109",0.99,0.0575887084426225,0.822427962351961,0.822428081386442,1.19034480716707e-07,0.705413902442457
"X.110",1,0.0568581918286614,0.820767151000523,0.820778303324232,1.11523237091848e-05,0.705413902442457
