"","dE","alphaB","powerwo","powerwFix","powerwFixdiff","powerwo_orig"
"206",-0.95,1.21607388446518e-05,0.0426248940187108,0.0428662919745693,0.00024139795585857,0.705413902442457
"207",-0.94,1.32811339523842e-05,0.0444622218686987,0.0446051253106367,0.000142903441938021,0.705413902442457
"208",-0.93,1.45653614076701e-05,0.0464633353735307,0.0465663504784938,0.000103015104963126,0.705413902442457
"209",-0.92,1.58932329089065e-05,0.0484295735348141,0.0485961694028946,0.000166595868080509,0.705413902442457
"210",-0.91,1.73348293900457e-05,0.0504607282062638,0.050518391500902,5.76632946381953e-05,0.705413902442457
"211",-0.9,1.88992798602096e-05,0.0525581752346921,0.0526839200241858,0.000125744789493724,0.705413902442457
"212",-0.89,2.05963913115959e-05,0.0547232814143327,0.0549224489302806,0.000199167515947882,0.705413902442457
"213",-0.88,2.25377295841388e-05,0.0570769252867777,0.0572354691750372,0.000158543888259512,0.705413902442457
"214",-0.87,2.45409866518737e-05,0.059385144776975,0.0594224381188002,3.72933418252078e-05,0.705413902442457
"215",-0.86,2.67115258284029e-05,0.0617651204860237,0.0618823482813927,0.000117227795368942,0.705413902442457
"216",-0.85,2.90623980018088e-05,0.0642181633576917,0.0644210105766036,0.000202847218911908,0.705413902442457
"217",-0.84,3.17472115500338e-05,0.0668806707846667,0.0668185150331663,-6.21557515003424e-05,0.705413902442457
"218",-0.83,3.45131648944421e-05,0.0694877191979273,0.0695120766634275,2.43574655001827e-05,0.705413902442457
"219",-0.82,3.7505351236006e-05,0.0721717120445263,0.072288473634903,0.000116761590376643,0.705413902442457
"220",-0.81,4.07410111111367e-05,0.0749338715866159,0.0751490538849989,0.000215182298382965,0.705413902442457
"221",-0.8,4.44302964937603e-05,0.077927167264087,0.0778463306572688,-8.0836606818166e-05,0.705413902442457
"222",-0.79,4.82249158112723e-05,0.0808534860468865,0.0808719154000986,1.84293532121266e-05,0.705413902442457
"223",-0.78,5.23234148721413e-05,0.0838615252949474,0.0839854296255312,0.000123904330583832,0.705413902442457
"224",-0.77,5.67484009409818e-05,0.0869523836660026,0.0871880857930987,0.000235702127096074,0.705413902442457
"225",-0.76,6.15240171414427e-05,0.0901271237962942,0.0902031638723221,7.60400760278779e-05,0.705413902442457
"226",-0.75,6.69581337084805e-05,0.0935607012350675,0.0935799122748663,1.92110397987805e-05,0.705413902442457
"227",-0.74,7.25361045552692e-05,0.0969107846705308,0.0970490945888494,0.000138309918318563,0.705413902442457
"228",-0.73,7.85488961126975e-05,0.100347747908732,0.10031126502464,-3.64828840918457e-05,0.705413902442457
"229",-0.72,8.50278740098214e-05,0.103872485030877,0.103960465158742,8.79801278651365e-05,0.705413902442457
"230",-0.71,9.23882555294827e-05,0.107678489932236,0.107704975736136,2.64858038996896e-05,0.705413902442457
"231",-0.7,9.99312334550137e-05,0.111385993718635,0.11154567560025,0.000159681881615109,0.705413902442457
"232",-0.69,0.000108049355685273,0.115183699972522,0.115151517968887,-3.21820036347648e-05,0.705413902442457
"233",-0.68,0.000116783065869819,0.119072298434348,0.119178819340862,0.000106520906513849,0.705413902442457
"234",-0.67,0.000126688805500731,0.123264449855673,0.123304526487249,4.00766315756806e-05,0.705413902442457
"235",-0.66,0.000136823825963654,0.1273415391522,0.127173413270711,-0.00016812588148965,0.705413902442457
"236",-0.65,0.00014771438615768,0.131511272579979,0.13148944201829,-2.18305616893621e-05,0.705413902442457
"237",-0.64,0.000159412241618343,0.135774101362947,0.135905528349896,0.000131426986948652,0.705413902442457
"238",-0.63,0.000172658361981878,0.14036228842777,0.1404220979808,5.980955303031e-05,0.705413902442457
"239",-0.62,0.000186189104179699,0.144817349258258,0.144650859073198,-0.000166490185060764,0.705413902442457
"240",-0.61,0.000200705541728694,0.149366480445716,0.149360934293538,-5.54615217809862e-06,0.705413902442457
"241",-0.6,0.000216273401889372,0.154009863464876,0.154172295441628,0.000162431976751393,0.705413902442457
"242",-0.59,0.000232962321967643,0.1587476088898,0.158671788984918,-7.58199048820907e-05,0.705413902442457
"243",-0.58,0.000251821852531396,0.163836692922513,0.163677540196501,-0.00015915272601183,0.705413902442457
"244",-0.57,0.000271047681600621,0.168768167653236,0.168784686910957,1.651925772167e-05,0.705413902442457
"245",-0.56,0.000291633436105702,0.173793887850125,0.173993098971878,0.000199211121753307,0.705413902442457
"246",-0.55,0.000313666705424922,0.178913661549088,0.178856250492549,-5.7411056539225e-05,0.705413902442457
"247",-0.54,0.000338525262861726,0.184404208211398,0.184258067173619,-0.000146141037779129,0.705413902442457
"248",-0.53,0.000363825541257951,0.189716106527136,0.189760259950086,4.4153422950638e-05,0.705413902442457
"249",-0.52,0.000390872588102753,0.195120985569001,0.195362344922528,0.000241359353527842,0.705413902442457
"250",-0.51,0.00041977571619522,0.200618331017468,0.200584850717875,-3.34802995929639e-05,0.705413902442457
"251",-0.5,0.000452332100992688,0.206504248389557,0.206376701963578,-0.000127546425978536,0.705413902442457
"252",-0.49,0.000485413260225759,0.212189434992637,0.212266497894762,7.70629021244751e-05,0.705413902442457
"253",-0.48,0.00052072247939068,0.217965009253458,0.2177507914188,-0.000214217834657748,0.705413902442457
"254",-0.47,0.000558395110124074,0.223830121683481,0.22382584518994,-4.27649354070581e-06,0.705413902442457
"255",-0.46,0.000598573656928606,0.229783839016834,0.229996083440958,0.000212244424124486,0.705413902442457
"256",-0.45,0.00064373904928241,0.236145513216239,0.236260370775017,0.000114857558777715,0.705413902442457
"257",-0.44,0.000689539691786557,0.242277824535777,0.242084203053955,-0.000193621481821865,0.705413902442457
"258",-0.43,0.000738328728801465,0.248495372515111,0.248525224573206,2.98520580951922e-05,0.705413902442457
"259",-0.42,0.00079028085941793,0.25479688394944,0.255056431525468,0.00025954757602803,0.705413902442457
"260",-0.41,0.000848586328448582,0.261519269922261,0.261121306025905,-0.000397963896355769,0.705413902442457
"261",-0.4,0.000907615980566232,0.267988786444969,0.267821057559856,-0.000167728885113128,0.705413902442457
"262",-0.39,0.000970397777262041,0.27453786671081,0.274606315329126,6.84486183158972e-05,0.705413902442457
"263",-0.38,0.00103714415437749,0.281164903526583,0.281475290300691,0.000310386774108218,0.705413902442457
"264",-0.37,0.00111193148040627,0.288223094380719,0.287843788440134,-0.000379305940585606,0.705413902442457
"265",-0.36,0.00118752491423235,0.295004772655108,0.294867883605723,-0.000136889049384969,0.705413902442457
"266",-0.35,0.00126779623904623,0.301859008239774,0.30196995328457,0.000110945044795474,0.705413902442457
"267",-0.34,0.00135300166052158,0.308783874958185,0.309147853218238,0.000363978260053577,0.705413902442457
"268",-0.33,0.0014434091623044,0.315777371276562,0.315792305632514,1.49343559521786e-05,0.705413902442457
"269",-0.32,0.00154450308601975,0.323210806742808,0.323109238225407,-0.000101568517400563,0.705413902442457
"270",-0.31,0.00164648010624068,0.330338593370936,0.330495258301754,0.000156664930817951,0.705413902442457
"271",-0.3,0.00175455428814664,0.337528450869682,0.337324357665728,-0.000204093203953537,0.705413902442457
"272",-0.29,0.00186904546960287,0.344778090025465,0.344835816814699,5.77267892336586e-05,0.705413902442457
"273",-0.28,0.00199686199896333,0.352471283258591,0.352408934370249,-6.23488883421119e-05,0.705413902442457
"274",-0.27,0.0021255859617544,0.359836183428187,0.360041016157814,0.000204832729627236,0.705413902442457
"275",-0.26,0.00226179059491168,0.367253478705166,0.367086529474626,-0.000166949230539726,0.705413902442457
"276",-0.25,0.00240585437358869,0.374720626879643,0.374823840288372,0.000103213408728819,0.705413902442457
"277",-0.24,0.00256642429506946,0.382631783390342,0.382611864976042,-1.99184142996578e-05,0.705413902442457
"278",-0.23,0.00272787192765741,0.390193061736185,0.389792917045013,-0.000400144691171611,0.705413902442457
"279",-0.22,0.00289843185465726,0.397796096480154,0.39766983856152,-0.000126257918634132,0.705413902442457
"280",-0.21,0.00307854804935853,0.405438134751271,0.405588700177928,0.000150565426656424,0.705413902442457
"281",-0.2,0.00326868169081101,0.41311637898724,0.413546388364758,0.000430009377517915,0.705413902442457
"282",-0.19,0.00348017112503052,0.421234734174124,0.420872344655642,-0.000362389518481721,0.705413902442457
"283",-0.18,0.00369238673126977,0.428978358587618,0.428895576057497,-8.27825301217278e-05,0.705413902442457
"284",-0.17,0.00391613821345321,0.436749404950901,0.436948293139396,0.000198888188495783,0.705413902442457
"285",-0.16,0.0041519605642863,0.44454492676688,0.445027216589167,0.000482289822287207,0.705413902442457
"286",-0.15,0.00441384464839056,0.45277391014201,0.452453089838372,-0.000320820303638447,0.705413902442457
"287",-0.14,0.00467620175467691,0.460610323165159,0.460572960187824,-3.73629773344208e-05,0.705413902442457
"288",-0.13,0.00495238305823767,0.46846205556453,0.468709300510556,0.000247244946026959,0.705413902442457
"289",-0.12,0.00524300350049778,0.476326066815624,0.476179191167461,-0.000146875648162903,0.705413902442457
"290",-0.11,0.00556521774896242,0.484613880265686,0.484337626564425,-0.000276253701260665,0.705413902442457
"291",-0.1,0.00588749046719644,0.492493512756549,0.492502620165634,9.10740908555141e-06,0.705413902442457
"292",-0.09,0.00622620811586241,0.500376068685372,0.500670752162631,0.00029468347725925,0.705413902442457
"293",-0.08,0.00658207088244862,0.50825847138718,0.508158039370344,-0.000100432016835739,0.705413902442457
"294",-0.07,0.0069558006724794,0.516137644356465,0.516322616986894,0.000184972630428715,0.705413902442457
"295",-0.06,0.00736932080145006,0.524424643729771,0.524480351728052,5.57079982814734e-05,0.705413902442457
"296",-0.05,0.00778207982186823,0.532287568596067,0.531949350786956,-0.000338217809110697,0.705413902442457
"297",-0.04,0.00821504616612362,0.54013791076795,0.540084447598492,-5.34631694574239e-05,0.705413902442457
