"","thetaE","mean.histdata","alphaB","powerwo_alphaB","powerwEB","powerwEBdiff"
"42",0,-0.0952931682377182,0.0141937685810022,0.621001141325047,0.621004354245597,3.2129205496112e-06
"43",0,0.262108025188273,0.0569239891644122,0.820917826410189,0.820916892478177,-9.33932012170402e-07
"44",0,-0.218614565559366,0.014926020124301,0.628526010461753,0.628524667716273,-1.34274548002633e-06
"45",0,0.0739711507241755,0.0143793430028138,0.62294374647078,0.622942397702525,-1.34876825452768e-06
"46",0,-0.313309113268778,0.0155208521926737,0.634374656406088,0.634373320299698,-1.33610638952675e-06
"47",0,0.0607933634327911,0.0141851071088107,0.62090986361843,0.620908512731805,-1.35088662511773e-06
"48",0,0.0884014489658793,0.0146964012311227,0.626206303862631,0.626204958577217,-1.34528541451129e-06
"49",0,0.246203308057628,0.0500100406460059,0.803791881138068,0.803790893299132,-9.87838935762042e-07
"50",0,0.00303998065688396,0.0138920385514965,0.617788714953254,0.61779193631822,3.2213649666657e-06
"51",0,-0.153324826426109,0.0145209957329207,0.624410041347162,0.624408694131278,-1.3472158837402e-06
"52",0,-0.0317694136681403,0.0139363241363307,0.618264470323447,0.618263116742168,-1.35358127906215e-06
"53",0,-0.112247818581208,0.01428368276412,0.621945468426432,0.62194867882203,3.21039559836311e-06
"54",0,0.015430494483794,0.0139052263505959,0.617930545291425,0.617933766288289,3.22099686389521e-06
"55",0,-0.0442647203459953,0.0139730367956356,0.618657748559312,0.618660967661965,3.21910265344005e-06
"56",0,0.151432047735596,0.0214932022972322,0.68301906765754,0.683022072675279,3.00501773942141e-06
"57",0,0.0260659791744879,0.013933339559965,0.618232453925059,0.618235674136906,3.22021184728793e-06
"58",0,0.323379546402235,0.0907666548574666,0.877778097186515,0.877777372879888,-7.24306626675997e-07
"59",0,-0.39125767100233,0.01599041991244,0.638836291736542,0.638839453675847,3.16193930560704e-06
"60",0,-0.290541173571398,0.0153796644907652,0.633006833983055,0.633005496293767,-1.33768928833877e-06
"61",0,0.0525198075435508,0.0140965892505369,0.619973879240305,0.619972527392434,-1.35184787097842e-06
"62",0,-0.188753550503184,0.0147384107915187,0.626633367048949,0.626632022227169,-1.34482177949202e-06
"63",0,-0.146748974013585,0.0144817236666695,0.624004939727831,0.624003592080956,-1.34764687542699e-06
"64",0,0.0356796146904095,0.0139751738147245,0.618680609808931,0.618679256647,-1.35316193106139e-06
"65",0,0.0470746499991797,0.0140497177896263,0.619475922810715,0.619474570454944,-1.3523557707007e-06
"66",0,0.188575573388407,0.0303781904904855,0.733927752010506,0.733926582223722,-1.16978678432744e-06
"67",0,0.323445551704908,0.0908097887495778,0.877831566145039,0.87783084206015,-7.2408488915876e-07
"68",0,0.037069074126614,0.0139828694164938,0.618762906878146,0.618761553799348,-1.35307879811641e-06
"69",0,-0.145073590602846,0.0144715895847174,0.623900228300837,0.623898880542819,-1.34775801752252e-06
"70",0,-0.133364960036058,0.0144030150634153,0.623189771269832,0.623188422760572,-1.3485092602572e-06
"71",0,0.0457363804114452,0.0140394155306658,0.61936625439809,0.619364901930787,-1.35246730281757e-06
"72",0,-0.0120366367558669,0.0138988438101787,0.617861919683312,0.61786056569799,-1.35398532108422e-06
"73",0,-0.037601986361675,0.0139525357417068,0.618438259507499,0.618436906101144,-1.35340635532e-06
"74",0,0.08871922399547,0.0147048842090373,0.626292637659465,0.626291292467634,-1.3451918315921e-06
"75",0,0.0844701358080843,0.0145962646048146,0.625183449526884,0.625186651117343,3.20159045985591e-06
"76",0,0.594411987260935,0.132678664013484,0.917154351280315,0.917153805231313,-5.46049002014826e-07
"77",0,0.0393018489223611,0.0139957035373937,0.618900056724184,0.618898703784074,-1.35294011005538e-06
"78",0,-0.148883214748407,0.0144945101287836,0.624136954166153,0.624135606659552,-1.34750660074623e-06
"79",0,-0.0240634169051317,0.0139184249428241,0.618072359805328,0.618071006031029,-1.35377429932859e-06
"80",0,-0.0839381272817122,0.0141375503643173,0.62040771584236,0.620406364438968,-1.35140339219131e-06
"81",0,0.123914565039387,0.0165278196115461,0.643784499758824,0.643787646312229,3.14655340571957e-06
"82",0,0.120912223390174,0.0162586781336165,0.641326806950005,0.641325479174868,-1.32777513617288e-06
"83",0,0.099396892728736,0.0150472192185287,0.629736220453214,0.629739409276053,3.18882283978361e-06
"84",0,-0.0528436512660692,0.0140034088829448,0.618982339464533,0.618980986607718,-1.35285681523989e-06
"85",0,0.0823065353890787,0.0145461956296815,0.624669416450783,0.624668069511695,-1.34693908748762e-06
"86",0,0.264242042532219,0.0579054338735201,0.823139882719717,0.823142069016089,2.18629637205314e-06
"87",0,-0.342955496389668,0.0157023251913935,0.636114689063596,0.636117859234331,3.17017073503401e-06
"88",0,-0.0441583805344646,0.0139730367956356,0.618657748559312,0.6186563953743,-1.35318501182091e-06
"89",0,-0.246797867592215,0.0151042504310152,0.630302357938384,0.630301017173682,-1.34076470148514e-06
"90",0,0.171614326109376,0.0260013440207446,0.711198194422147,0.711196977519453,-1.21690269438979e-06
"91",0,0.152478561230245,0.0217095622800285,0.684508742067681,0.684507476889598,-1.26517808241022e-06
"92",0,0.299784370934087,0.0762967601638787,0.857593451232265,0.85759264671572,-8.04516544827827e-07
"93",0,0.192664374721999,0.0315196507260528,0.739266531276252,0.739269269988169,2.73871191669439e-06
"94",0,-0.0144872142748635,0.0139018220146185,0.617893945428031,0.617892591474795,-1.35395323530574e-06
"95",0,-0.0620892061915673,0.0140394155306658,0.61936625439809,0.619364901930787,-1.35246730281757e-06
"96",0,0.384905344194547,0.137868338946218,0.920738045618353,0.920737517442713,-5.28175640446271e-07
"97",0,-0.0348593730558531,0.0139444279078903,0.618351367897612,0.618354587799719,3.21990210705447e-06
"98",0,-0.0895556178666174,0.0141647705716264,0.620695334477229,0.620698548211294,3.21373406486636e-06
"99",0,0.170479451071014,0.0257286770733536,0.709647132978031,0.709645913063882,-1.21991414836486e-06
"100",0,0.110845564017065,0.0155723829789891,0.634870804227061,0.634873978105465,3.17387840387262e-06
"101",0.5,0.436716464188492,0.18869969239054,0.947093430481688,0.947093044170616,-3.86311072131384e-07
"102",0.5,0.347082699366054,0.107259398161819,0.895942312570221,0.895941666618856,-6.45951364841579e-07
"103",0.5,0.238570624094133,0.0469391488538136,0.795233250672447,0.795232237342837,-1.01332961011114e-06
"104",0.5,0.391538816337577,0.143797519584973,0.924582416570858,0.924581907916081,-5.08654776631978e-07
"105",0.5,0.652575445103286,0.111284142962726,0.89977538514874,0.899776865202148,1.48005340772084e-06
"106",0.5,0.386161442213522,0.138978453919633,0.921477419303363,0.921476894853784,-5.24449578431785e-07
"107",0.5,0.954576463752708,0.0602658291764555,0.828296282019584,0.828295372547301,-9.0947228248428e-07
"108",0.5,0.270244934582862,0.0607404749133695,0.829302530468841,0.829301624391607,-9.06077234463787e-07
"109",0.5,0.846192616236984,0.0713669831179682,0.849505402694939,0.849504567904195,-8.34790744086433e-07
"110",0.5,1.04822615860626,0.053818956671126,0.813561874311821,0.813560916742838,-9.57568983550594e-07
"111",0.5,0.449520531797813,0.202848771534028,0.952392853069075,0.952393687455244,8.34386168491186e-07
"112",0.5,0.514474983213311,0.174067247661788,0.940830806034854,0.940830384197969,-4.21836884756388e-07
